brand,screen_size,cpu,ram,OS,graphics,price
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
Apple,13.3,Other,8,MacOS,Integrated,689.99
Apple,15.3,Other,8,MacOS,Integrated,1144.48
Acer,15.6,AMD,8,Windows,Integrated,299.99
Apple,13.3,Other,8,MacOS,Integrated,965.08
Acer,15.6,Other,4,Chrome OS,Integrated,239.99
Asus,16.0,Intel,16,Windows,Dedicated,1274.03
Acer,15.6,Intel,8,Windows,Integrated,299.99
Acer,15.6,Intel,16,Windows,Dedicated,814.77
HP,14.0,AMD,16,Windows,Integrated,379.99
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Acer,17.3,AMD,16,Windows,Dedicated,1199.99
HP,15.6,Intel,16,Windows,Integrated,473.0
Other,11.6,Other,4,Windows,Integrated,155.0
Asus,15.6,Intel,8,Windows,Dedicated,699.99
MSI,15.6,Intel,16,Windows,Dedicated,938.0
Lenovo,15.6,Intel,20,Windows,Integrated,419.0
Lenovo,15.6,AMD,8,Windows,Dedicated,801.96
Asus,16.0,Intel,16,Windows,Dedicated,1799.99
HP,14.0,Other,4,Chrome OS,Integrated,249.0
HP,17.3,Intel,32,Windows,Integrated,510.0
HP,15.6,Intel,16,Windows,Integrated,527.15
Asus,16.0,Intel,32,Windows,Dedicated,2199.0
MSI,15.6,Intel,32,Windows,Dedicated,1699.0
Dell,16.0,Intel,32,Windows,Integrated,899.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
Lenovo,14.0,Intel,20,Windows,Integrated,359.0
HP,14.0,Other,4,Chrome OS,Integrated,209.99
Lenovo,15.6,Intel,8,Windows,Integrated,637.35
Dell,15.6,Other,16,Windows,Integrated,439.0
Acer,14.0,Intel,8,Chrome OS,Integrated,372.66
MSI,15.6,Intel,16,Windows,Dedicated,1429.0
Lenovo,14.0,Intel,8,Windows,Integrated,281.69
Asus,15.6,Other,4,Windows,Integrated,236.47
HP,15.0,AMD,8,Windows,Integrated,337.96
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Asus,13.3,Intel,32,Windows,Integrated,1399.99
Asus,15.6,AMD,16,Windows,Dedicated,1044.77
Lenovo,15.6,Other,8,Chrome OS,Integrated,294.29
Acer,15.6,Other,4,Chrome OS,Integrated,224.0
Asus,14.0,Other,4,Chrome OS,Integrated,225.82
Lenovo,14.0,AMD,16,Windows,Integrated,539.99
Acer,15.6,Other,4,Windows,Integrated,229.99
Asus,13.4,Intel,16,Windows,Dedicated,1749.99
HP,15.6,Intel,16,Windows,Integrated,465.0
Asus,16.0,Intel,32,Windows,Dedicated,3349.0
Asus,18.0,Intel,32,Windows,Dedicated,3899.0
MSI,15.6,Intel,32,Windows,Dedicated,1699.0
Dell,16.0,Intel,32,Windows,Integrated,899.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
LG,17.0,Intel,32,Windows,Dedicated,1734.71
Asus,13.4,Intel,32,Windows,Dedicated,2499.99
Lenovo,11.6,Other,4,Chrome OS,Integrated,114.74
Other,15.0,Intel,16,Windows,Integrated,1084.66
Asus,15.6,Intel,16,Windows,Dedicated,1150.99
Asus,15.6,AMD,16,Windows,Dedicated,1149.0
HP,14.0,Other,4,Windows,Integrated,199.99
Asus,17.3,AMD,32,Windows,Dedicated,2619.99
Acer,14.0,Intel,8,Windows,Integrated,426.64
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Asus,17.3,Intel,8,Windows,Dedicated,783.95
Lenovo,13.3,Intel,8,Chrome OS,Integrated,479.0
HP,15.6,Intel,16,Windows,Integrated,553.0
Dell,14.0,Intel,16,Windows,Integrated,399.0
HP,11.6,Other,4,Chrome OS,Dedicated,271.99
MSI,15.6,Intel,32,Windows,Dedicated,1699.0
Dell,16.0,Intel,32,Windows,Integrated,899.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
Acer,14.0,Intel,16,Windows,Integrated,762.19
Asus,15.6,Intel,16,Windows,Integrated,989.99
Apple,16.2,Other,32,MacOS,Integrated,1899.0
Acer,15.6,AMD,8,Windows,Integrated,488.94
Apple,13.6,Other,16,MacOS,Integrated,1459.94
HP,14.0,Other,16,Windows,Integrated,389.99
Samsung,15.6,Intel,16,Windows,Integrated,1099.99
Other,14.4,Intel,64,Windows,Dedicated,3699.99
Asus,15.6,AMD,32,Windows,Integrated,1299.0
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Samsung,14.0,Intel,16,Windows,Integrated,1199.0
Apple,13.0,Other,16,MacOS,Integrated,1457.99
HP,15.6,Other,16,Windows,Integrated,469.0
Other,11.6,Other,4,Windows,Integrated,134.9
Other,15.6,Intel,8,Windows,Dedicated,879.99
Asus,15.6,AMD,16,Windows,Integrated,749.99
Acer,11.6,Other,4,Chrome OS,Integrated,226.0
MSI,15.6,Intel,32,Windows,Dedicated,1699.0
Dell,16.0,Intel,32,Windows,Integrated,899.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
Asus,14.5,Intel,32,Windows,Dedicated,2399.99
Asus,11.6,Other,4,Chrome OS,Integrated,184.62
MSI,17.3,Intel,32,Windows,Dedicated,2793.89
Lenovo,15.6,Intel,8,Windows,Dedicated,429.0
MSI,15.6,Intel,16,Windows,Dedicated,729.99
Apple,13.6,Other,16,MacOS,Integrated,1255.94
HP,14.0,Intel,16,Windows,Integrated,1000.0
Asus,16.0,Intel,32,Windows,Dedicated,2499.99
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Samsung,15.6,Other,4,Chrome OS,Integrated,205.0
HP,14.0,Intel,8,Chrome OS,Integrated,265.99
Acer,15.6,AMD,4,Windows,Integrated,367.29
Other,14.0,AMD,16,Windows,Dedicated,2699.99
Asus,15.6,Intel,8,Windows,Integrated,379.0
Acer,16.0,Intel,16,Windows,Dedicated,1649.99
Asus,16.0,AMD,16,Windows,Dedicated,1589.99
Asus,15.6,AMD,32,Windows,Dedicated,1399.99
Dell,13.4,Intel,16,Windows,Integrated,1229.99
Dell,15.6,Intel,16,Windows,Dedicated,1129.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
Asus,14.0,Intel,8,Windows,Integrated,479.99
HP,16.0,AMD,4,Chrome OS,Dedicated,94.98
LG,17.0,Intel,32,Windows,Dedicated,2296.99
MSI,15.6,Intel,32,Windows,Dedicated,1699.0
Asus,16.0,Intel,32,Windows,Integrated,1699.99
Asus,16.0,Intel,16,Windows,Dedicated,1484.99
Dell,14.0,Intel,16,Windows,Dedicated,1666.4
Asus,17.3,Intel,16,Windows,Dedicated,873.0
HP,15.6,Intel,12,Windows,Integrated,503.58
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Other,12.45,Intel,8,Windows,Integrated,529.0
HP,14.0,Other,8,Windows,Integrated,299.0
Lenovo,14.0,Intel,16,Windows,Integrated,535.99
Lenovo,14.0,Intel,4,Windows,Integrated,191.87
MSI,15.6,Other,8,Windows,Dedicated,600.51
Apple,16.0,Other,32,MacOS,Dedicated,3059.0
Samsung,16.0,Intel,32,Windows,Integrated,1939.99
Asus,15.6,Other,8,Chrome OS,Integrated,247.05
MSI,15.6,Intel,32,Windows,Dedicated,1699.0
Dell,16.0,Intel,32,Windows,Integrated,899.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
Acer,13.3,Other,8,Chrome OS,Integrated,424.46
Other,16.0,Intel,32,Windows,Dedicated,3611.89
HP,15.0,AMD,32,Windows,Integrated,685.0
LG,16.0,Intel,16,Windows,Dedicated,1284.93
HP,14.0,Intel,8,Windows,Integrated,570.0
HP,17.3,Intel,8,Windows,Integrated,576.99
Lenovo,14.0,Intel,32,Windows,Integrated,1949.99
LG,16.0,Intel,32,Windows,Integrated,1757.57
HP,17.3,Intel,16,Windows,Integrated,557.0
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
MSI,17.3,Intel,32,Windows,Dedicated,1999.99
